t-api$ sudo docker-compose logs opnsense-api
opnsense-management-api  | 2025-08-13 17:56:49 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:49 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:49 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:50 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:50 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:50 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:50 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:51 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:51 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:51 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:51 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:52 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:52 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:52 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:52 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:53 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:53 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
opnsense-management-api  | 2025-08-13 17:56:53 warn: Redis reconnecting...
opnsense-management-api  | 2025-08-13 17:56:53 error: Redis connection error: {"code":"ECONNREFUSED","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1122:18)\n    at afterConnectMultiple (node:net:1689:7)"}
